iter	Passed	Remaining
1352	7999	110253
1353	8005	110248
1354	8011	110237
1355	8017	110227
1356	8022	110219
1357	8028	110209
1358	8033	110196
1359	8039	110187
1360	8045	110179
1361	8050	110166
1362	8056	110157
1363	8061	110146
1364	8067	110139
1365	8079	110212
1366	8085	110214
1367	8091	110206
1368	8097	110196
1369	8102	110185
1370	8108	110178
1371	8114	110169
1372	8119	110156
1373	8125	110156
1374	8131	110146
1375	8137	110136
1376	8142	110126
1377	8148	110118
1378	8154	110108
1379	8160	110102
1380	8165	110090
1381	8171	110084
1382	8176	110072
1383	8182	110065
1384	8188	110052
1385	8193	110041
1386	8199	110034
1387	8205	110026
1388	8210	110014
1389	8216	110001
1390	8221	109992
1391	8227	109983
1392	8234	109986
1393	8239	109975
1394	8245	109963
1395	8250	109954
1396	8256	109946
1397	8262	109936
1398	8267	109928
1399	8273	109922
1400	8283	109963
1401	8290	109970
1402	8296	109967
1403	8301	109957
1404	8307	109948
1405	8313	109938
1406	8318	109929
1407	8324	109926
1408	8330	109918
1409	8336	109910
1410	8341	109900
1411	8348	109895
1412	8353	109885
1413	8359	109880
1414	8364	109867
1415	8370	109856
1416	8376	109847
1417	8381	109839
1418	8387	109830
1419	8393	109820
1420	8398	109808
1421	8404	109799
1422	8410	109793
1423	8416	109786
1424	8421	109775
1425	8427	109765
1426	8432	109755
1427	8438	109746
1428	8443	109736
1429	8449	109730
1430	8455	109719
1431	8461	109715
1432	8467	109714
1433	8473	109704
1434	8478	109692
1435	8485	109702
1436	8492	109706
1437	8498	109699
1438	8504	109692
1439	8510	109686
1440	8515	109679
1441	8521	109671
1442	8527	109662
1443	8533	109655
1444	8538	109647
1445	8544	109640
1446	8550	109631
1447	8556	109620
1448	8561	109609
1449	8567	109603
1450	8573	109596
1451	8578	109587
1452	8584	109581
1453	8590	109571
1454	8596	109562
1455	8601	109550
1456	8606	109539
1457	8612	109531
1458	8618	109521
1459	8624	109517
1460	8629	109507
1461	8635	109500
1462	8641	109494
1463	8647	109482
1464	8652	109472
1465	8658	109460
1466	8664	109455
1467	8669	109446
1468	8675	109436
1469	8682	109449
1470	8689	109459
1471	8696	109456
1472	8704	109477
1473	8710	109477
1474	8716	109468
1475	8721	109460
1476	8727	109455
1477	8733	109446
1478	8739	109442
1479	8745	109434
1480	8750	109423
1481	8756	109418
1482	8762	109409
1483	8768	109399
1484	8773	109389
1485	8779	109378
1486	8784	109370
1487	8790	109359
1488	8796	109357
1489	8802	109353
1490	8808	109344
1491	8814	109345
1492	8820	109336
1493	8826	109328
1494	8831	109318
1495	8837	109309
1496	8842	109298
1497	8848	109289
1498	8854	109279
1499	8859	109271
1500	8865	109262
1501	8871	109255
1502	8876	109242
1503	8882	109241
1504	8888	109236
1505	8897	109262
1506	8903	109257
1507	8909	109248
1508	8915	109243
1509	8920	109234
1510	8926	109226
1511	8932	109216
1512	8938	109214
1513	8944	109206
1514	8949	109197
1515	8955	109187
1516	8960	109177
1517	8966	109171
1518	8972	109164
1519	8978	109160
1520	8984	109155
1521	8990	109147
1522	8995	109138
1523	9001	109133
1524	9007	109126
1525	9013	109117
1526	9018	109107
1527	9024	109098
1528	9030	109089
1529	9035	109079
1530	9041	109075
1531	9047	109068
1532	9053	109061
1533	9059	109057
1534	9064	109045
1535	9070	109037
1536	9076	109027
1537	9083	109032
1538	9090	109042
1539	9097	109050
1540	9103	109045
